lat;lon
-25.445113;-49.318840
-25.404552;-49.318840
-25.363976;-49.318840
-25.445113;-49.273929
-25.404552;-49.273929
-25.363976;-49.273929
-25.445113;-49.229018
-25.404552;-49.229018
-25.363976;-49.229018
-25.445113;-49.184106
-25.404552;-49.184106
-25.363976;-49.184106
